Frame, Timestamp, Shelf, AOI, HandR_x, HandR_y, HandR_z, HandR_rot_x, HandR_rot_y, HandR_rot_z, HandL_x, HandL_y, HandL_z, HandL_rot_x, HandL_rot_y, HandL_rot_z, Velocity_HandR_x, Velocity_HandR_y, Velocity_HandR_z, Velocity_HandL_x, Velocity_HandL_y, Velocity_HandL_z
671, 18.1471, ShelfToys (UnityEngine.Transform), Top, -0.3759, 1.1563, -0.5917, 14.7363, 49.2147, 339.4481, -0.4989, 0.9652, -0.9648, 341.3815, 7.4809, 255.5535, -0.2454, -0.0919, 0.0974, -0.2444, -0.0721, -0.0681
672, 18.1740, ShelfToys (UnityEngine.Transform), Top, -0.3759, 1.1563, -0.5917, 14.7363, 49.2147, 339.4481, -0.4989, 0.9652, -0.9648, 341.3815, 7.4809, 255.5535, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
673, 18.1998, ShelfToys (UnityEngine.Transform), Top, -0.3777, 1.1557, -0.5903, 17.3289, 49.7226, 337.1441, -0.5033, 0.9633, -0.9668, 341.8370, 4.2996, 255.3977, -0.0686, -0.0242, 0.0555, -0.1679, -0.0760, -0.0772
674, 18.2305, ShelfToys (UnityEngine.Transform), Top, -0.3779, 1.1550, -0.5899, 19.6718, 45.3322, 329.6707, -0.5067, 0.9617, -0.9695, 341.8079, 1.5118, 255.8527, -0.0070, -0.0228, 0.0126, -0.1115, -0.0497, -0.0886
675, 18.2573, ShelfToys (UnityEngine.Transform), Top, -0.3786, 1.1541, -0.5889, 22.6180, 45.2324, 327.3959, -0.5098, 0.9609, -0.9720, 340.9980, 0.4490, 256.0642, -0.0279, -0.0303, 0.0383, -0.1166, -0.0321, -0.0903
676, 18.2806, ShelfToys (UnityEngine.Transform), Top, -0.3785, 1.1542, -0.5895, 22.2684, 42.2483, 322.5977, -0.5123, 0.9600, -0.9741, 341.1051, 359.6167, 256.5274, 0.0069, 0.0021, -0.0258, -0.1055, -0.0391, -0.0898
677, 18.3070, ShelfToys (UnityEngine.Transform), Top, -0.3779, 1.1546, -0.5898, 21.7417, 40.7377, 321.4928, -0.5150, 0.9592, -0.9753, 340.7906, 0.2725, 256.5225, 0.0225, 0.0173, -0.0137, -0.1040, -0.0279, -0.0464
678, 18.3375, ShelfToys (UnityEngine.Transform), Top, -0.3773, 1.1553, -0.5902, 21.5124, 39.6313, 319.6982, -0.5182, 0.9583, -0.9767, 340.6318, 0.3649, 256.6970, 0.0199, 0.0224, -0.0140, -0.1033, -0.0304, -0.0459
679, 18.3635, ShelfToys (UnityEngine.Transform), Top, -0.3749, 1.1584, -0.5916, 19.5771, 35.9564, 317.9284, -0.5209, 0.9582, -0.9764, 340.6721, 0.7564, 256.5523, 0.0914, 0.1193, -0.0508, -0.1061, -0.0053, 0.0104
680, 18.3896, ShelfToys (UnityEngine.Transform), Top, -0.3692, 1.1661, -0.5944, 20.6121, 33.5056, 316.1404, -0.5241, 0.9577, -0.9752, 341.1133, 0.7038, 256.6602, 0.2166, 0.2924, -0.1085, -0.1207, -0.0182, 0.0484
681, 18.4177, ShelfToys (UnityEngine.Transform), Top, -0.3630, 1.1770, -0.5976, 20.7980, 33.0838, 315.3233, -0.5281, 0.9582, -0.9729, 340.2316, 1.2066, 256.1425, 0.2236, 0.3876, -0.1148, -0.1421, 0.0177, 0.0814
682, 18.4456, ShelfToys (UnityEngine.Transform), Top, -0.3550, 1.1932, -0.6025, 21.7084, 33.8827, 315.3821, -0.5317, 0.9593, -0.9697, 338.9129, 1.3799, 256.2934, 0.2845, 0.5830, -0.1742, -0.1312, 0.0395, 0.1150
683, 18.4738, ShelfToys (UnityEngine.Transform), Top, -0.3503, 1.2037, -0.6054, 22.2241, 33.9112, 314.7709, -0.5352, 0.9601, -0.9671, 337.9220, 1.4275, 256.4599, 0.1691, 0.3716, -0.1040, -0.1229, 0.0281, 0.0906
684, 18.5002, ShelfToys (UnityEngine.Transform), Top, -0.3429, 1.2222, -0.6081, 20.5157, 34.9394, 313.7024, -0.5379, 0.9623, -0.9638, 336.2836, 0.5103, 256.1546, 0.2773, 0.7005, -0.1027, -0.1034, 0.0849, 0.1245
685, 18.5296, ShelfToys (UnityEngine.Transform), Top, -0.3355, 1.2481, -0.6107, 18.8418, 34.6089, 311.6169, -0.5401, 0.9657, -0.9590, 335.3394, 0.1224, 256.1558, 0.2535, 0.8820, -0.0895, -0.0750, 0.1161, 0.1628
686, 18.5567, ShelfToys (UnityEngine.Transform), Top, -0.3284, 1.2742, -0.6131, 19.2362, 33.5798, 310.4642, -0.5424, 0.9698, -0.9540, 334.0591, 0.2284, 256.0765, 0.2603, 0.9638, -0.0870, -0.0842, 0.1515, 0.1859
687, 18.5833, ShelfToys (UnityEngine.Transform), Top, -0.3226, 1.2962, -0.6150, 19.4241, 33.5764, 309.7797, -0.5437, 0.9730, -0.9483, 332.4066, 1.8683, 255.1653, 0.2179, 0.8273, -0.0717, -0.0488, 0.1191, 0.2152
688, 18.6121, ShelfToys (UnityEngine.Transform), Top, -0.3158, 1.3113, -0.6145, 19.8712, 34.3276, 309.6610, -0.5440, 0.9755, -0.9431, 332.9460, 3.5249, 253.9923, 0.2380, 0.5247, 0.0191, -0.0100, 0.0862, 0.1803
689, 18.6407, ShelfToys (UnityEngine.Transform), Top, -0.3107, 1.3243, -0.6148, 20.0803, 34.6404, 309.1259, -0.5446, 0.9776, -0.9388, 332.9014, 4.5366, 253.2615, 0.1798, 0.4539, -0.0100, -0.0216, 0.0726, 0.1489
690, 18.6678, ShelfToys (UnityEngine.Transform), Top, -0.3030, 1.3383, -0.6140, 19.1816, 32.9277, 304.9427, -0.5422, 0.9776, -0.9343, 332.3028, 8.4505, 251.3465, 0.2841, 0.5167, 0.0280, 0.0910, 0.0016, 0.1688
691, 18.6963, ShelfToys (UnityEngine.Transform), Top, -0.2967, 1.3519, -0.6125, 19.4363, 31.0053, 301.3080, -0.5390, 0.9774, -0.9290, 332.3715, 10.6248, 249.2338, 0.2185, 0.4781, 0.0529, 0.1115, -0.0082, 0.1832
692, 18.7243, ShelfToys (UnityEngine.Transform), Top, -0.2915, 1.3678, -0.6083, 19.9760, 27.8331, 296.5610, -0.5362, 0.9778, -0.9251, 331.8024, 11.2546, 247.6950, 0.1857, 0.5682, 0.1512, 0.0983, 0.0137, 0.1398
693, 18.7527, ShelfToys (UnityEngine.Transform), Top, -0.2867, 1.3871, -0.6022, 23.2927, 25.3939, 291.1235, -0.5337, 0.9789, -0.9231, 330.8864, 11.1254, 246.8340, 0.1712, 0.6796, 0.2126, 0.0891, 0.0392, 0.0728
694, 18.7800, ShelfToys (UnityEngine.Transform), Top, -0.2770, 1.4118, -0.5966, 30.9099, 16.0823, 281.4154, -0.5317, 0.9792, -0.9223, 330.3942, 10.4022, 247.3397, 0.3558, 0.9030, 0.2059, 0.0742, 0.0122, 0.0274
695, 18.8068, ShelfToys (UnityEngine.Transform), Top, -0.2699, 1.4302, -0.5931, 34.4869, 8.7949, 273.2534, -0.5300, 0.9796, -0.9213, 329.9260, 10.3450, 247.2510, 0.2611, 0.6851, 0.1296, 0.0619, 0.0145, 0.0367
696, 18.8356, ShelfToys (UnityEngine.Transform), Top, -0.2547, 1.4619, -0.5868, 40.7359, 1.9419, 266.3015, -0.5292, 0.9796, -0.9215, 329.4043, 9.7620, 247.0309, 0.5281, 1.1020, 0.2176, 0.0295, -0.0001, -0.0058
697, 18.8633, ShelfToys (UnityEngine.Transform), Top, -0.2397, 1.4886, -0.5767, 47.6406, 351.4933, 255.4482, -0.5282, 0.9793, -0.9218, 329.3729, 9.2896, 246.9466, 0.5422, 0.9619, 0.3671, 0.0339, -0.0115, -0.0126
698, 18.8911, ShelfToys (UnityEngine.Transform), Top, -0.2257, 1.5013, -0.5585, 50.1785, 329.7643, 241.1366, -0.5271, 0.9786, -0.9226, 329.6990, 9.2704, 246.9980, 0.5033, 0.4589, 0.6522, 0.0393, -0.0234, -0.0272
699, 18.9195, ShelfToys (UnityEngine.Transform), Top, -0.2182, 1.5098, -0.5473, 43.9982, 308.0650, 229.1464, -0.5260, 0.9775, -0.9230, 330.3631, 10.1794, 246.5940, 0.2659, 0.2988, 0.3953, 0.0413, -0.0405, -0.0148
700, 18.9476, ShelfToys (UnityEngine.Transform), Top, -0.2136, 1.5119, -0.5411, 37.0023, 293.7270, 223.2254, -0.5249, 0.9766, -0.9237, 330.7639, 11.5876, 246.4184, 0.1632, 0.0728, 0.2201, 0.0385, -0.0299, -0.0230
701, 18.9743, ShelfToys (UnityEngine.Transform), Top, -0.2081, 1.5182, -0.5352, 32.0928, 285.5632, 220.0110, -0.5238, 0.9759, -0.9241, 331.0172, 12.7679, 246.1565, 0.2069, 0.2361, 0.2222, 0.0390, -0.0278, -0.0185
702, 19.0019, ShelfToys (UnityEngine.Transform), Top, -0.2069, 1.5241, -0.5457, 28.5690, 282.7491, 224.3141, -0.5221, 0.9755, -0.9242, 331.1768, 13.1178, 246.3600, 0.0414, 0.2170, -0.3815, 0.0627, -0.0146, -0.0020
703, 19.0304, ShelfToys (UnityEngine.Transform), Top, -0.2106, 1.5313, -0.5644, 33.0793, 305.2048, 242.3879, -0.5201, 0.9759, -0.9247, 331.5176, 12.9234, 246.4201, -0.1293, 0.2505, -0.6548, 0.0698, 0.0127, -0.0160
704, 19.0586, ShelfToys (UnityEngine.Transform), Top, -0.2180, 1.5318, -0.5824, 33.9220, 330.2656, 258.1870, -0.5175, 0.9766, -0.9257, 331.4407, 12.4461, 246.6528, -0.2611, 0.0181, -0.6380, 0.0914, 0.0259, -0.0382
705, 19.0865, ShelfToys (UnityEngine.Transform), Top, -0.2247, 1.5241, -0.5945, 26.8626, 354.3008, 272.4669, -0.5150, 0.9766, -0.9274, 331.6056, 13.2101, 246.1403, -0.2417, -0.2755, -0.4336, 0.0922, 0.0006, -0.0595
706, 19.1137, ShelfToys (UnityEngine.Transform), Top, -0.2256, 1.5175, -0.5930, 13.2322, 14.0505, 282.1697, -0.5116, 0.9765, -0.9290, 331.7771, 13.5345, 246.0321, -0.0310, -0.2451, 0.0559, 0.1257, -0.0047, -0.0609
707, 19.1413, ShelfToys (UnityEngine.Transform), Top, -0.2259, 1.5144, -0.5927, 359.5815, 28.3978, 286.2548, -0.5086, 0.9764, -0.9305, 331.9375, 13.9027, 245.8963, -0.0102, -0.1109, 0.0092, 0.1084, -0.0036, -0.0506
708, 19.1689, ShelfToys (UnityEngine.Transform), Top, -0.2236, 1.5146, -0.5840, 345.9239, 38.2083, 287.5471, -0.5047, 0.9763, -0.9330, 332.8548, 13.5093, 246.0244, 0.0822, 0.0089, 0.3161, 0.1398, -0.0024, -0.0910
709, 19.1953, ShelfToys (UnityEngine.Transform), Top, -0.2051, 1.5281, -0.5578, 333.9596, 40.8271, 286.1500, -0.5002, 0.9751, -0.9363, 333.2821, 11.8577, 245.8889, 0.6992, 0.5083, 0.9914, 0.1704, -0.0442, -0.1255
710, 19.2241, ShelfToys (UnityEngine.Transform), Top, -0.1820, 1.5554, -0.5326, 329.9515, 43.0961, 282.4333, -0.4964, 0.9754, -0.9389, 333.9716, 13.4318, 244.9639, 0.8010, 0.9483, 0.8740, 0.1317, 0.0108, -0.0920
711, 19.2535, ShelfToys (UnityEngine.Transform), Top, -0.1585, 1.5750, -0.5239, 342.2378, 45.9166, 281.2345, -0.4933, 0.9743, -0.9418, 333.9595, 13.1450, 244.1616, 0.8006, 0.6688, 0.2968, 0.1072, -0.0385, -0.0976
712, 19.2852, ShelfToys (UnityEngine.Transform), Top, -0.1494, 1.5932, -0.5204, 352.3469, 43.7827, 277.9269, -0.4904, 0.9741, -0.9454, 334.8638, 13.0253, 243.9536, 0.2882, 0.5729, 0.1119, 0.0912, -0.0068, -0.1147
713, 19.3093, ShelfToys (UnityEngine.Transform), Top, -0.1413, 1.6059, -0.5160, 355.6076, 44.3966, 276.0391, -0.4877, 0.9739, -0.9485, 335.5571, 12.9833, 243.7019, 0.3367, 0.5276, 0.1814, 0.1093, -0.0085, -0.1282
714, 19.3361, ShelfToys (UnityEngine.Transform), Top, -0.1333, 1.6118, -0.5179, 0.8817, 44.1581, 270.9477, -0.4878, 0.9730, -0.9530, 335.1099, 12.3054, 243.2495, 0.2971, 0.2185, -0.0687, -0.0010, -0.0320, -0.1674
715, 19.3633, ShelfToys (UnityEngine.Transform), Top, -0.1305, 1.6130, -0.5217, 1.3956, 34.0461, 265.0051, -0.4876, 0.9728, -0.9565, 334.6804, 12.5407, 242.8247, 0.1034, 0.0444, -0.1419, 0.0055, -0.0091, -0.1272
718, 19.4491, ShelfToys (UnityEngine.Transform), Top, -0.1557, 1.5754, -0.5445, 2.0151, 28.3786, 276.1555, -0.4864, 0.9745, -0.9612, 334.3705, 14.5108, 242.8081, -0.8689, -1.2967, -0.7860, 0.0422, 0.0588, -0.1638
719, 19.4748, ShelfToys (UnityEngine.Transform), Top, -0.1648, 1.5629, -0.5509, 2.2213, 28.1270, 279.0739, -0.4857, 0.9748, -0.9623, 334.4811, 15.4811, 242.9306, -0.3571, -0.4860, -0.2510, 0.0264, 0.0137, -0.0426
720, 19.5035, ShelfToys (UnityEngine.Transform), Top, -0.1838, 1.5331, -0.5609, 358.8528, 29.4674, 286.8848, -0.4854, 0.9747, -0.9639, 333.6933, 15.0660, 243.4151, -0.6611, -1.0383, -0.3467, 0.0094, -0.0050, -0.0555
721, 19.5314, ShelfToys (UnityEngine.Transform), Top, -0.2032, 1.4996, -0.5728, 354.6962, 28.0224, 294.0825, -0.4848, 0.9746, -0.9645, 333.8148, 14.9400, 244.5831, -0.6946, -1.1984, -0.4265, 0.0230, -0.0025, -0.0223
722, 19.5582, ShelfToys (UnityEngine.Transform), Top, -0.2181, 1.4828, -0.5878, 348.1595, 22.0350, 295.4534, -0.4842, 0.9750, -0.9648, 334.0890, 15.1736, 244.1691, -0.5544, -0.6310, -0.5593, 0.0229, 0.0121, -0.0097
723, 19.5862, ShelfToys (UnityEngine.Transform), Top, -0.2233, 1.4738, -0.5904, 353.2277, 19.4655, 297.5340, -0.4829, 0.9755, -0.9646, 334.5214, 15.7180, 243.7272, -0.1856, -0.3194, -0.0951, 0.0456, 0.0188, 0.0073
724, 19.6139, ShelfToys (UnityEngine.Transform), Top, -0.2185, 1.4767, -0.5881, 357.6095, 20.3392, 297.9001, -0.4817, 0.9758, -0.9638, 334.7421, 15.9993, 242.8223, 0.1736, 0.1037, 0.0852, 0.0452, 0.0121, 0.0269
725, 19.6411, ShelfToys (UnityEngine.Transform), Top, -0.2171, 1.4764, -0.5877, 0.3274, 20.0978, 299.3631, -0.4803, 0.9762, -0.9631, 334.9551, 16.3039, 242.0715, 0.0502, -0.0115, 0.0128, 0.0489, 0.0127, 0.0261
726, 19.6690, ShelfToys (UnityEngine.Transform), Top, -0.2090, 1.4819, -0.5800, 2.2881, 20.8664, 295.0874, -0.4795, 0.9766, -0.9621, 334.2400, 16.3970, 242.2936, 0.2886, 0.1989, 0.2754, 0.0313, 0.0150, 0.0371
727, 19.6973, ShelfToys (UnityEngine.Transform), Top, -0.1931, 1.4943, -0.5667, 3.5708, 20.5543, 288.4758, -0.4794, 0.9768, -0.9611, 332.9217, 16.7308, 242.1828, 0.5626, 0.4371, 0.4712, 0.0018, 0.0094, 0.0365
728, 19.7251, ShelfToys (UnityEngine.Transform), Top, -0.1830, 1.5087, -0.5612, 1.9650, 21.8414, 284.1024, -0.4798, 0.9774, -0.9599, 332.3289, 16.4415, 242.1463, 0.3642, 0.5183, 0.1980, -0.0128, 0.0195, 0.0395
729, 19.7553, ShelfToys (UnityEngine.Transform), Top, -0.1775, 1.5143, -0.5581, 3.6615, 25.8870, 283.9603, -0.4809, 0.9780, -0.9583, 332.4183, 16.7791, 241.7870, 0.1822, 0.1840, 0.1016, -0.0376, 0.0215, 0.0536
730, 19.7816, ShelfToys (UnityEngine.Transform), Top, -0.1763, 1.5162, -0.5564, 5.5542, 29.4733, 284.1776, -0.4831, 0.9790, -0.9554, 332.4105, 17.4365, 241.8370, 0.0456, 0.0726, 0.0671, -0.0849, 0.0383, 0.1103
731, 19.8085, ShelfToys (UnityEngine.Transform), Top, -0.1751, 1.5175, -0.5550, 7.4828, 32.5259, 284.1604, -0.4852, 0.9800, -0.9527, 332.3521, 18.0106, 241.8222, 0.0454, 0.0512, 0.0515, -0.0772, 0.0354, 0.1010
732, 19.8380, ShelfToys (UnityEngine.Transform), Top, -0.1758, 1.5200, -0.5536, 7.3876, 32.7050, 281.3048, -0.4866, 0.9828, -0.9506, 332.3473, 17.7689, 241.9007, -0.0263, 0.0843, 0.0475, -0.0470, 0.0945, 0.0699
733, 19.8655, ShelfToys (UnityEngine.Transform), Top, -0.1761, 1.5223, -0.5521, 7.9267, 33.3620, 279.6350, -0.4879, 0.9852, -0.9487, 332.3209, 17.6696, 241.9309, -0.0087, 0.0833, 0.0530, -0.0471, 0.0892, 0.0699
734, 19.8982, ShelfToys (UnityEngine.Transform), Top, -0.1764, 1.5301, -0.5491, 9.6406, 31.6541, 277.5426, -0.4888, 0.9862, -0.9480, 332.3559, 17.6012, 241.6214, -0.0107, 0.2378, 0.0926, -0.0277, 0.0283, 0.0234
735, 19.9215, ShelfToys (UnityEngine.Transform), Top, -0.1742, 1.5420, -0.5471, 10.2949, 32.5278, 275.3036, -0.4895, 0.9869, -0.9468, 333.1633, 16.6402, 242.2558, 0.0941, 0.5128, 0.0841, -0.0300, 0.0320, 0.0517
736, 19.9489, ShelfToys (UnityEngine.Transform), Top, -0.1726, 1.5502, -0.5456, 11.0506, 33.0956, 273.8340, -0.4901, 0.9876, -0.9457, 333.9479, 15.7509, 242.8427, 0.0595, 0.2989, 0.0564, -0.0224, 0.0240, 0.0381
737, 19.9752, ShelfToys (UnityEngine.Transform), Top, -0.1711, 1.5547, -0.5470, 8.6352, 31.9768, 272.3576, -0.4909, 0.9890, -0.9446, 333.2469, 14.9360, 243.2031, 0.0564, 0.1706, -0.0520, -0.0287, 0.0537, 0.0415
738, 20.0028, ShelfToys (UnityEngine.Transform), Top, -0.1721, 1.5562, -0.5480, 9.0326, 31.4146, 273.1896, -0.4920, 0.9909, -0.9434, 333.6031, 15.2564, 242.9186, -0.0362, 0.0551, -0.0380, -0.0427, 0.0684, 0.0432
739, 20.0305, ShelfToys (UnityEngine.Transform), Top, -0.1728, 1.5581, -0.5487, 9.3956, 31.1604, 273.1568, -0.4933, 0.9928, -0.9422, 333.8986, 15.4268, 242.7483, -0.0224, 0.0682, -0.0232, -0.0437, 0.0690, 0.0449
740, 20.0604, ShelfToys (UnityEngine.Transform), Top, -0.1745, 1.5571, -0.5493, 9.1524, 30.3480, 274.0559, -0.4946, 0.9945, -0.9408, 334.5025, 15.8066, 242.6541, -0.0593, -0.0344, -0.0213, -0.0440, 0.0576, 0.0475
741, 20.0876, ShelfToys (UnityEngine.Transform), Top, -0.1775, 1.5541, -0.5497, 8.2833, 31.0908, 274.9424, -0.4954, 0.9961, -0.9396, 334.1957, 17.1065, 241.9384, -0.1100, -0.1118, -0.0147, -0.0315, 0.0607, 0.0425
742, 20.1154, ShelfToys (UnityEngine.Transform), Top, -0.1805, 1.5489, -0.5494, 8.1155, 32.0703, 275.6007, -0.4963, 0.9978, -0.9390, 334.5021, 18.4604, 240.9024, -0.1063, -0.1844, 0.0102, -0.0327, 0.0593, 0.0221
743, 20.1429, ShelfToys (UnityEngine.Transform), Top, -0.1830, 1.5448, -0.5491, 8.0082, 32.8676, 276.0600, -0.4972, 0.9993, -0.9384, 334.7820, 19.4597, 240.1520, -0.0933, -0.1513, 0.0108, -0.0310, 0.0555, 0.0221
744, 20.1708, ShelfToys (UnityEngine.Transform), Top, -0.1849, 1.5382, -0.5491, 5.2913, 32.8518, 276.6677, -0.4974, 0.9999, -0.9375, 335.1776, 19.9229, 239.9516, -0.0668, -0.2376, -0.0012, -0.0064, 0.0206, 0.0303
745, 20.1976, ShelfToys (UnityEngine.Transform), Top, -0.1866, 1.5329, -0.5491, 2.2948, 32.8938, 277.3397, -0.4976, 1.0005, -0.9367, 335.4987, 20.3867, 239.7041, -0.0616, -0.1956, 0.0015, -0.0085, 0.0232, 0.0305
746, 20.2252, ShelfToys (UnityEngine.Transform), Top, -0.1907, 1.5252, -0.5504, 359.6857, 31.7033, 280.0534, -0.4972, 1.0006, -0.9359, 336.2552, 21.3695, 238.2736, -0.1520, -0.2809, -0.0468, 0.0155, 0.0030, 0.0294
747, 20.2542, ShelfToys (UnityEngine.Transform), Top, -0.1995, 1.5156, -0.5558, 357.7899, 28.3418, 282.7233, -0.4968, 1.0002, -0.9352, 336.0017, 20.5113, 237.7602, -0.3018, -0.3287, -0.1875, 0.0138, -0.0124, 0.0229
748, 20.2819, ShelfToys (UnityEngine.Transform), Top, -0.2052, 1.5092, -0.5592, 356.2522, 25.7226, 284.9552, -0.4964, 0.9999, -0.9346, 335.9300, 20.1244, 237.3100, -0.2060, -0.2305, -0.1224, 0.0135, -0.0118, 0.0243
749, 20.3101, ShelfToys (UnityEngine.Transform), Top, -0.2178, 1.4979, -0.5635, 358.1672, 21.9981, 292.7487, -0.4963, 0.9995, -0.9339, 335.8340, 20.0673, 237.4069, -0.4464, -0.4039, -0.1512, 0.0048, -0.0145, 0.0228
